============================= test session starts =============================
platform win32 -- Python 3.11.9, pytest-9.1.1, pluggy-1.6.0 -- C:\Users\91995\Documents\python tool validation\testmon\.venv\Scripts\python.exe
cachedir: .pytest_cache
testmon: new DB, environment: default
We'd like to hear from testmon users! Please go to https://testmon.org/survey to leave feedback.
rootdir: C:\Users\91995\Documents\python tool validation\testmon
tests/generated/test_segment_004.py::test_payments_segment_004_07 PASSED [ 65%]
tests/generated/test_segment_004.py::test_inventory_segment_004_00 PASSED [ 65%]
tests/generated/test_segment_004.py::test_inventory_segment_004_01 PASSED [ 65%]
tests/generated/test_segment_004.py::test_inventory_segment_004_02 PASSED [ 65%]
tests/generated/test_segment_004.py::test_inventory_segment_004_03 PASSED [ 65%]
tests/generated/test_segment_004.py::test_inventory_segment_004_04 PASSED [ 66%]
tests/generated/test_segment_004.py::test_inventory_segment_004_05 PASSED [ 66%]
tests/generated/test_segment_004.py::test_inventory_segment_004_06 PASSED [ 66%]
tests/generated/test_segment_004.py::test_inventory_segment_004_07 PASSED [ 66%]
tests/generated/test_segment_004.py::test_reporting_segment_004_00 PASSED [ 66%]
tests/generated/test_segment_004.py::test_reporting_segment_004_01 PASSED [ 67%]
tests/generated/test_segment_004.py::test_reporting_segment_004_02 PASSED [ 67%]
tests/generated/test_segment_004.py::test_reporting_segment_004_03 PASSED [ 67%]
tests/generated/test_segment_004.py::test_reporting_segment_004_04 PASSED [ 67%]
tests/generated/test_segment_004.py::test_reporting_segment_004_05 PASSED [ 67%]
tests/generated/test_segment_004.py::test_reporting_segment_004_06 PASSED [ 67%]
tests/generated/test_segment_004.py::test_reporting_segment_004_07 PASSED [ 68%]
tests/generated/test_segment_004.py::test_notifications_segment_004_00 PASSED [ 68%]
tests/generated/test_segment_004.py::test_notifications_segment_004_01 PASSED [ 68%]
tests/generated/test_segment_004.py::test_notifications_segment_004_02 PASSED [ 68%]
tests/generated/test_segment_004.py::test_notifications_segment_004_03 PASSED [ 68%]
tests/generated/test_segment_004.py::test_notifications_segment_004_04 PASSED [ 69%]
tests/generated/test_segment_004.py::test_notifications_segment_004_05 PASSED [ 69%]
tests/generated/test_segment_004.py::test_notifications_segment_004_06 PASSED [ 69%]
tests/generated/test_segment_004.py::test_notifications_segment_004_07 PASSED [ 69%]
tests/generated/test_segment_004.py::test_file_processing_segment_004_00 PASSED [ 69%]
tests/generated/test_segment_004.py::test_file_processing_segment_004_01 PASSED [ 70%]
tests/generated/test_segment_004.py::test_file_processing_segment_004_02 PASSED [ 70%]
tests/generated/test_segment_004.py::test_file_processing_segment_004_03 PASSED [ 70%]
tests/generated/test_segment_004.py::test_file_processing_segment_004_04 PASSED [ 70%]
tests/generated/test_segment_004.py::test_file_processing_segment_004_05 PASSED [ 70%]
tests/generated/test_segment_004.py::test_file_processing_segment_004_06 PASSED [ 70%]
tests/generated/test_segment_004.py::test_file_processing_segment_004_07 PASSED [ 71%]
tests/generated/test_segment_004.py::test_validation_segment_004_00 PASSED [ 71%]
tests/generated/test_segment_004.py::test_validation_segment_004_01 PASSED [ 71%]
tests/generated/test_segment_004.py::test_validation_segment_004_02 PASSED [ 71%]
tests/generated/test_segment_004.py::test_validation_segment_004_03 PASSED [ 71%]
tests/generated/test_segment_004.py::test_validation_segment_004_04 PASSED [ 72%]
tests/generated/test_segment_004.py::test_validation_segment_004_05 PASSED [ 72%]
tests/generated/test_segment_004.py::test_validation_segment_004_06 PASSED [ 72%]
tests/generated/test_segment_004.py::test_validation_segment_004_07 PASSED [ 72%]
tests/generated/test_segment_004.py::test_utils_segment_004_00 PASSED    [ 72%]
tests/generated/test_segment_004.py::test_utils_segment_004_01 PASSED    [ 72%]
tests/generated/test_segment_004.py::test_utils_segment_004_02 PASSED    [ 73%]
tests/generated/test_segment_004.py::test_utils_segment_004_03 PASSED    [ 73%]
tests/generated/test_segment_004.py::test_utils_segment_004_04 PASSED    [ 73%]
tests/generated/test_segment_004.py::test_utils_segment_004_05 PASSED    [ 73%]
tests/generated/test_segment_004.py::test_utils_segment_004_06 PASSED    [ 73%]
tests/generated/test_segment_004.py::test_utils_segment_004_07 PASSED    [ 74%]
tests/generated/test_segment_005.py::test_auth_segment_005_00 PASSED     [ 74%]
tests/generated/test_segment_005.py::test_auth_segment_005_01 PASSED     [ 74%]
tests/generated/test_segment_005.py::test_auth_segment_005_02 PASSED     [ 74%]
tests/generated/test_segment_005.py::test_auth_segment_005_03 PASSED     [ 74%]
tests/generated/test_segment_005.py::test_auth_segment_005_04 PASSED     [ 75%]
tests/generated/test_segment_005.py::test_auth_segment_005_05 PASSED     [ 75%]
tests/generated/test_segment_005.py::test_auth_segment_005_06 PASSED     [ 75%]
tests/generated/test_segment_005.py::test_auth_segment_005_07 PASSED     [ 75%]
tests/generated/test_segment_005.py::test_users_segment_005_00 PASSED    [ 75%]
tests/generated/test_segment_005.py::test_users_segment_005_01 PASSED    [ 75%]
tests/generated/test_segment_005.py::test_users_segment_005_02 PASSED    [ 76%]
tests/generated/test_segment_005.py::test_users_segment_005_03 PASSED    [ 76%]
tests/generated/test_segment_005.py::test_users_segment_005_04 PASSED    [ 76%]
tests/generated/test_segment_005.py::test_users_segment_005_05 PASSED    [ 76%]
tests/generated/test_segment_005.py::test_users_segment_005_06 PASSED    [ 76%]
tests/generated/test_segment_005.py::test_users_segment_005_07 PASSED    [ 77%]
tests/generated/test_segment_005.py::test_orders_segment_005_00 PASSED   [ 77%]
tests/generated/test_segment_005.py::test_orders_segment_005_01 PASSED   [ 77%]
tests/generated/test_segment_005.py::test_orders_segment_005_02 PASSED   [ 77%]
tests/generated/test_segment_005.py::test_orders_segment_005_03 PASSED   [ 77%]
tests/generated/test_segment_005.py::test_orders_segment_005_04 PASSED   [ 77%]
tests/generated/test_segment_005.py::test_orders_segment_005_05 PASSED   [ 78%]
tests/generated/test_segment_005.py::test_orders_segment_005_06 PASSED   [ 78%]
tests/generated/test_segment_005.py::test_orders_segment_005_07 PASSED   [ 78%]
tests/generated/test_segment_005.py::test_payments_segment_005_00 PASSED [ 78%]
tests/generated/test_segment_005.py::test_payments_segment_005_01 PASSED [ 78%]
tests/generated/test_segment_005.py::test_payments_segment_005_02 PASSED [ 79%]
tests/generated/test_segment_005.py::test_payments_segment_005_03 PASSED [ 79%]
tests/generated/test_segment_005.py::test_payments_segment_005_04 PASSED [ 79%]
tests/generated/test_segment_005.py::test_payments_segment_005_05 PASSED [ 79%]
tests/generated/test_segment_005.py::test_payments_segment_005_06 PASSED [ 79%]
tests/generated/test_segment_005.py::test_payments_segment_005_07 PASSED [ 80%]
tests/generated/test_segment_005.py::test_inventory_segment_005_00 PASSED [ 80%]
tests/generated/test_segment_005.py::test_inventory_segment_005_01 PASSED [ 80%]
tests/generated/test_segment_005.py::test_inventory_segment_005_02 PASSED [ 80%]
tests/generated/test_segment_005.py::test_inventory_segment_005_03 PASSED [ 80%]
tests/generated/test_segment_005.py::test_inventory_segment_005_04 PASSED [ 80%]
tests/generated/test_segment_005.py::test_inventory_segment_005_05 PASSED [ 81%]
tests/generated/test_segment_005.py::test_inventory_segment_005_06 PASSED [ 81%]
tests/generated/test_segment_005.py::test_inventory_segment_005_07 PASSED [ 81%]
tests/generated/test_segment_005.py::test_reporting_segment_005_00 PASSED [ 81%]
tests/generated/test_segment_005.py::test_reporting_segment_005_01 PASSED [ 81%]
tests/generated/test_segment_005.py::test_reporting_segment_005_02 PASSED [ 82%]
tests/generated/test_segment_005.py::test_reporting_segment_005_03 PASSED [ 82%]
tests/generated/test_segment_005.py::test_reporting_segment_005_04 PASSED [ 82%]
tests/generated/test_segment_005.py::test_reporting_segment_005_05 PASSED [ 82%]
tests/generated/test_segment_005.py::test_reporting_segment_005_06 PASSED [ 82%]
tests/generated/test_segment_005.py::test_reporting_segment_005_07 PASSED [ 82%]
tests/generated/test_segment_005.py::test_notifications_segment_005_00 PASSED [ 83%]
tests/generated/test_segment_005.py::test_notifications_segment_005_01 PASSED [ 83%]
tests/generated/test_segment_005.py::test_notifications_segment_005_02 PASSED [ 83%]
tests/generated/test_segment_005.py::test_notifications_segment_005_03 PASSED [ 83%]
tests/generated/test_segment_005.py::test_notifications_segment_005_04 PASSED [ 83%]
tests/generated/test_segment_005.py::test_notifications_segment_005_05 PASSED [ 84%]
tests/generated/test_segment_005.py::test_notifications_segment_005_06 PASSED [ 84%]
tests/generated/test_segment_005.py::test_notifications_segment_005_07 PASSED [ 84%]
tests/generated/test_segment_005.py::test_file_processing_segment_005_00 PASSED [ 84%]
tests/generated/test_segment_005.py::test_file_processing_segment_005_01 PASSED [ 84%]
tests/generated/test_segment_005.py::test_file_processing_segment_005_02 PASSED [ 85%]
tests/generated/test_segment_005.py::test_file_processing_segment_005_03 PASSED [ 85%]
tests/generated/test_segment_005.py::test_file_processing_segment_005_04 PASSED [ 85%]
tests/generated/test_segment_005.py::test_file_processing_segment_005_05 PASSED [ 85%]
tests/generated/test_segment_005.py::test_file_processing_segment_005_06 PASSED [ 85%]
tests/generated/test_segment_005.py::test_file_processing_segment_005_07 PASSED [ 85%]
tests/generated/test_segment_005.py::test_validation_segment_005_00 PASSED [ 86%]
tests/generated/test_segment_005.py::test_validation_segment_005_01 PASSED [ 86%]
tests/generated/test_segment_005.py::test_validation_segment_005_02 PASSED [ 86%]
tests/generated/test_segment_005.py::test_validation_segment_005_03 PASSED [ 86%]
tests/generated/test_segment_005.py::test_validation_segment_005_04 PASSED [ 86%]
tests/generated/test_segment_005.py::test_validation_segment_005_05 PASSED [ 87%]
tests/generated/test_segment_005.py::test_validation_segment_005_06 PASSED [ 87%]
tests/generated/test_segment_005.py::test_validation_segment_005_07 PASSED [ 87%]
tests/generated/test_segment_005.py::test_utils_segment_005_00 PASSED    [ 87%]
tests/generated/test_segment_005.py::test_utils_segment_005_01 PASSED    [ 87%]
tests/generated/test_segment_005.py::test_utils_segment_005_02 PASSED    [ 87%]
tests/generated/test_segment_005.py::test_utils_segment_005_03 PASSED    [ 88%]
tests/generated/test_segment_005.py::test_utils_segment_005_04 PASSED    [ 88%]
tests/generated/test_segment_005.py::test_utils_segment_005_05 PASSED    [ 88%]
tests/generated/test_segment_005.py::test_utils_segment_005_06 PASSED    [ 88%]
tests/generated/test_segment_005.py::test_utils_segment_005_07 PASSED    [ 88%]
tests/generated/test_segment_006.py::test_auth_segment_006_00 PASSED     [ 89%]
tests/generated/test_segment_006.py::test_auth_segment_006_01 PASSED     [ 89%]
tests/generated/test_segment_006.py::test_auth_segment_006_02 PASSED     [ 89%]
tests/generated/test_segment_006.py::test_auth_segment_006_03 PASSED     [ 89%]
tests/generated/test_segment_006.py::test_auth_segment_006_04 PASSED     [ 89%]
tests/generated/test_segment_006.py::test_auth_segment_006_05 PASSED     [ 90%]
tests/generated/test_segment_006.py::test_auth_segment_006_06 PASSED     [ 90%]
tests/generated/test_segment_006.py::test_auth_segment_006_07 PASSED     [ 90%]
tests/generated/test_segment_006.py::test_users_segment_006_00 PASSED    [ 90%]
tests/generated/test_segment_006.py::test_users_segment_006_01 PASSED    [ 90%]
tests/generated/test_segment_006.py::test_users_segment_006_02 PASSED    [ 90%]
tests/generated/test_segment_006.py::test_users_segment_006_03 PASSED    [ 91%]
tests/generated/test_segment_006.py::test_users_segment_006_04 PASSED    [ 91%]
tests/generated/test_segment_006.py::test_users_segment_006_05 PASSED    [ 91%]
tests/generated/test_segment_006.py::test_users_segment_006_06 PASSED    [ 91%]
tests/generated/test_segment_006.py::test_users_segment_006_07 PASSED    [ 91%]
tests/generated/test_segment_006.py::test_orders_segment_006_00 PASSED   [ 92%]
tests/generated/test_segment_006.py::test_orders_segment_006_01 PASSED   [ 92%]
tests/generated/test_segment_006.py::test_orders_segment_006_02 PASSED   [ 92%]
tests/generated/test_segment_006.py::test_orders_segment_006_03 PASSED   [ 92%]
tests/generated/test_segment_006.py::test_orders_segment_006_04 PASSED   [ 92%]
tests/generated/test_segment_006.py::test_orders_segment_006_05 PASSED   [ 92%]
tests/generated/test_segment_006.py::test_orders_segment_006_06 PASSED   [ 93%]
tests/generated/test_segment_006.py::test_orders_segment_006_07 PASSED   [ 93%]
tests/generated/test_segment_006.py::test_payments_segment_006_00 PASSED [ 93%]
tests/generated/test_segment_006.py::test_payments_segment_006_01 PASSED [ 93%]
tests/generated/test_segment_006.py::test_payments_segment_006_02 PASSED [ 93%]
tests/generated/test_segment_006.py::test_payments_segment_006_03 PASSED [ 94%]
tests/generated/test_segment_006.py::test_payments_segment_006_04 PASSED [ 94%]
tests/generated/test_segment_006.py::test_payments_segment_006_05 PASSED [ 94%]
tests/generated/test_segment_006.py::test_payments_segment_006_06 PASSED [ 94%]
tests/generated/test_segment_006.py::test_payments_segment_006_07 PASSED [ 94%]
tests/generated/test_segment_006.py::test_inventory_segment_006_00 PASSED [ 95%]
tests/generated/test_segment_006.py::test_inventory_segment_006_01 PASSED [ 95%]
tests/generated/test_segment_006.py::test_inventory_segment_006_02 PASSED [ 95%]
tests/generated/test_segment_006.py::test_inventory_segment_006_03 PASSED [ 95%]
tests/generated/test_segment_006.py::test_inventory_segment_006_04 PASSED [ 95%]
tests/generated/test_segment_006.py::test_inventory_segment_006_05 PASSED [ 95%]
tests/generated/test_segment_006.py::test_inventory_segment_006_06 PASSED [ 96%]
tests/generated/test_segment_006.py::test_inventory_segment_006_07 PASSED [ 96%]
tests/test_auth_session.py::test_create_session_token_success PASSED     [ 96%]
tests/test_auth_session.py::test_create_session_token_requires_user_id PASSED [ 96%]
tests/test_auth_session.py::test_create_session_token_deterministic PASSED [ 96%]
tests/test_auth_session.py::test_validate_session_expiry_active PASSED   [ 97%]
tests/test_auth_session.py::test_validate_session_expiry_invalid_ttl PASSED [ 97%]
tests/test_auth_session.py::test_enrich_session_metadata_defaults PASSED [ 97%]
tests/test_integration_cross_module.py::test_checkout_context_pipeline PASSED [ 97%]
tests/test_orders_pricing.py::test_calculate_regional_price_tiers[US-gold] PASSED [ 97%]
tests/test_orders_pricing.py::test_calculate_regional_price_tiers[EU-silver] PASSED [ 97%]
tests/test_orders_pricing.py::test_calculate_regional_price_tiers[APAC-bronze] PASSED [ 98%]
tests/test_orders_pricing.py::test_calculate_regional_price_promo_save10 PASSED [ 98%]
tests/test_orders_pricing.py::test_calculate_regional_price_quantity_discount PASSED [ 98%]
tests/test_orders_pricing.py::test_calculate_regional_price_invalid_base PASSED [ 98%]
tests/test_orders_pricing.py::test_calculate_regional_price_wholesale_flag PASSED [ 98%]
tests/test_utils_shared.py::test_normalize_identifier_success PASSED     [ 99%]
tests/test_utils_shared.py::test_normalize_identifier_invalid PASSED     [ 99%]
tests/test_utils_shared.py::test_normalize_identifier_uppercases PASSED  [ 99%]
tests/test_utils_shared.py::test_merge_context_overrides PASSED          [ 99%]
tests/test_utils_shared.py::test_stable_sort_key_ordering PASSED         [ 99%]
tests/test_validation_sparse.py::test_validation_segment_sparse_only PASSED [100%]

============================ 540 passed in 10.41s =============================
